Admission_Method,Description
11,Elective: Waiting list 
12,Elective: Booked 
13,Elective: Planned 
21,Emergency: Provider's ED or dent   
22,Emergency: General Practitioner
23,Emergency: Bed bureau
24,Emergency: Consultant Clinic
25,Emergency: Mental Health Crisis Resolution Team
2A,Emergency: Other's ED
2B,Emergency: Hospital Transfer
2C,Emergency: Baby born at home
2D,Emergency: Other emergency admission
28,Emergency: Other means
31,Maternity: Ante partum
32,Maternity: Post partum
82,Other: The birth of a baby in this Health Care Provider 
83,Other: Baby born outside the Health Care Provider except when born at home as intended 
81,Other: Transfer of any admitted PATIENT from other Hospital Provider other than in an emergency 
